code,name_es,name_en,kcal_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sodium_mg_100g
746,Aceite de algodón,Cotton oil,884.32,0.0,0.0,100.0,0.0,0.0
747,Aceite de cacahuete,Peanut oil,883.44,0.0,0.0,99.9,0.0,0.0
748,Aceite de coco,Coconut oil,884.32,0.0,0.0,100.0,0.0,0.0
753,Aceite de colza,Rape oil,884.32,0.0,0.0,100.0,0.0,0.0
749,Aceite de germen de trigo,Wheat germ oil,883.44,0.0,0.0,99.9,0.0,
754,Aceite de grano de uva,Grape seed oil,883.44,0.0,0.0,99.9,0.0,
755,Aceite de hígado de bacalao,Cod liver oil,883.44,0.0,0.0,99.9,0.0,
2542,Aceite de lino,Flaxseed oil,884.32,0.0,0.0,100.0,0.0,0.0
2543,Aceite de oliva,Olive oil,883.44,0.0,0.0,99.9,0.0,0.0
751,Aceite de palma,Palm oil,884.32,0.0,0.0,100.0,0.0,0.0
752,Aceite de sésamo,Sesame oil,884.32,0.0,0.0,100.0,0.0,0.0
2546,Aceite de soja,"Soye, oil",884.23,0.0,0.0,99.99,0.0,0.0
2214,Aceituna,Olive,119.89,1.3,1.0,12.5,4.8,50.0
2215,"Aceituna negra, con hueso","Olive, black, with bone",287.91,2.0,4.0,29.8,3.5,50.0
2212,"Acelga, cruda","Chard, raw",21.27,2.1,2.7,0.2,1.0,170.0
2359,"Acelga, en conserva","Swiss chard, canned",17.37,1.8,2.3,0.08,1.3,130.0
2360,"Acelgas, hervidas","Chard, boiled",28.92,1.9,4.37,0.39,0.8,110.0
733,"Achicoria, cruda","Chicory, raw",18.71,0.5,2.8,0.6,0.9,0.0
2425,Agua de la red,Tap water,0.0,0.0,0.0,0.0,0.0,
2426,"Agua mineral, mineralización debil",Mineral water,0.0,0.0,0.0,0.0,0.0,0.0
2216,Aguacate,Avocado,136.19,1.5,0.4,12.0,6.3,0.0
2217,Aguacate congelado,"Avocado, frozen",223.26,1.9,0.0,23.5,6.3,0.0
2361,Ajo,Garlic,116.77,3.94,24.3,0.23,1.2,20.0
2573,"Ajo, en polvo","Garlic, powder",369.21,16.55,72.73,0.73,9.0,60.0
2362,"Ajo, frito","Garlic, fried",101.39,7.7,15.97,0.59,1.55,0.0
2473,Albahaca,Basil,177.0,14.4,20.5,3.98,40.5,30.0
2474,Albondigas en conserva,"Meatball, canned",141.21,6.8,6.8,9.72,5.05,930.0
1176,"Alcachofa, cruda","Artichoke, frozen, raw",22.73,2.9,2.26,0.2,9.4,10.0
2363,Alcachofas en conserva,"Artichoke, canned",18.07,2.9,1.2,0.16,9.4,10.0
2364,Alcaparra,Caper,25.73,2.36,2.1,0.86,1.5,2960.0
790,Alioli,"Garlic mayonnaise, oil unspecified",781.8,0.46,2.84,86.89,0.14,570.0
2640,Almeja,Clams,47.9,10.7,0.0,1.61,0.0,60.0
2641,Almejas en conserva,Canned clams,80.45,17.43,1.5,0.4,0.0,60.0
896,"Almendra, cruda","Almond, raw",586.19,19.13,6.2,45.22,8.35,10.0
