code,name_en,group,kcal_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sugar_100g,sodium_mg_100g
13-145,"Ackee, canned, drained",DG,151.0,2.9,0.8,15.2,,0.8,240.0
13-146,"Agar, dried",DG,16.0,1.3,0.0,1.2,,0,110.0
13-147,"Agar, dried, soaked and drained",DG,2.0,0.2,0.0,0.1,,0,10.0
13-148,"Alfalfa sprouts, raw",DG,24.0,4.0,0.4,0.7,,0.3,6.0
14-870,"Almonds, flaked and ground",GA,612.0,21.1,6.9,55.8,,4.2,14.0
14-897,"Almonds, toasted",GA,579.0,21.0,5.9,52.5,10.9,5.1,3.0
14-898,"Almonds, weighed with shells",GA,205.0,7.8,1.9,18.5,4.6,1.6,0
14-896,"Almonds, whole kernels",GA,554.0,21.2,5.3,49.9,12.5,4.5,1.0
13-150,"Amaranth leaves, boiled in unsalted water",DG,16.0,3.0,0.3,0.3,,0.2,11.0
13-149,"Amaranth leaves, raw",DG,18.0,3.5,0.3,0.3,,0.2,13.0
14-001,Amla,FA,58.0,0.5,13.7,0.1,,,5.0
16-448,"Anchovies, canned in oil, drained",JC,191.0,25.2,0.0,10.0,0.0,0.0,5870.0
14-272,"Apple juice concentrate, unsweetened, commerical",PE,223.0,0.5,57.6,0.6,,57.6,11.0
14-331,"Apple juice, clear, ambient and chilled",FC,37.0,0.1,9.7,0.0,0,9.7,3.0
17-851,"Apple sauce, homemade",WC,79.0,0.3,20.2,0.2,1.4,20.2,2.0
14-344,"Apples, cooking, baked with sugar, flesh only",FA,69.0,0.2,17.1,0.4,1.9,17.1,1.0
14-345,"Apples, cooking, baked with sugar, flesh only, weighed with skin",FA,57.0,0.2,14.3,0.3,1.6,14.3,1.0
14-342,"Apples, cooking, baked without sugar, flesh only",FA,47.0,0.2,11.4,0.4,2.0,11.4,1.0
14-343,"Apples, cooking, baked without sugar, flesh only, weighed with skin",FA,40.0,0.2,9.6,0.3,1.7,9.6,1.0
14-362,"Apples, cooking, raw, flesh only, peeled",F,37.0,0.3,8.9,0.3,1.7,8.9,2.0
14-363,"Apples, cooking, raw, flesh only, weighed with skin and core",F,27.0,0.2,6.5,0.2,1.2,6.4,1.0
14-332,"Apples, cooking, stewed with sugar, flesh only",FA,81.0,0.2,20.8,0.3,1.4,20.8,1.0
14-320,"Apples, cooking, stewed without sugar, flesh only",FA,40.0,0.2,9.7,0.3,1.7,9.7,1.0
