code,name_it,kcal_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sugar_100g,sodium_mg_100g
120010,Acciuga o alice,96.0,16.8,1.5,2.6,0.0,1.5,110.0
120020,"Acciuga o alice, sott'olio",206.0,25.9,0.2,11.3,0.0,0.2,480.0
120030,"Acciuga o alice, sotto sale",137.0,25.0,2.3,3.1,0.0,2.3,
005000,Aglio,53.0,8.4,1.0,0.8,4.3,1.0,4.0
005004,Aglio Bianco Piacentino,47.0,7.2,0.9,0.6,4.7,0.94,3.0
005001,Aglio Rosso di Castelliri,52.0,8.9,1.02,0.5,3.8,1.02,4.0
005002,Aglio Rosso di Procerno,57.0,8.9,1.0,0.9,4.6,1.02,5.0
005003,Aglio Rosso di Sulmona,58.0,8.7,1.0,1.3,4.0,0.97,5.0
104033,"Agnello, coscio, cotto, al forno",118.0,23.0,0.0,2.9,0.0,0.0,65.0
104030,"Agnello, coscio, crudo",102.0,20.0,0.0,2.5,0.0,0.0,68.0
104043,"Agnello, costoletta, cotto, al forno",118.0,22.7,0.0,3.0,0.0,0.0,71.0
104040,"Agnello, costoletta, crudo",106.0,20.4,0.0,2.7,0.0,0.0,70.0
104029,"Agnello, cotto, al forno",199.0,25.0,0.0,11.0,0.0,0.0,106.0
104020,"Agnello, crudo",159.0,20.0,0.0,8.8,0.0,0.0,88.0
005025,"Agretti, cotti, bolliti",25.0,2.1,2.6,0.2,2.7,2.6,
005010,"Agretti, crudi",22.0,1.8,2.2,0.2,2.3,2.2,
007010,"Albicocche, disidratate",356.0,5.6,80.6,1.0,11.0,80.6,33.0
007000,"Albicocche, fresche",42.0,0.4,9.8,0.1,1.5,9.8,1.0
007020,"Albicocche, sciroppate",65.0,0.4,16.1,0.1,0.9,16.1,10.0
007030,"Albicocche, secche",286.0,5.0,66.5,0.5,6.0,66.5,26.0
007700,"Amarene, fresche",44.0,0.8,10.2,0.0,1.1,10.2,2.0
008610,Anacardi,604.0,15.0,33.0,46.0,3.0,5.6,16.0
007460,"Ananas, fresco",42.0,0.5,10.0,0.0,1.0,10.0,2.0
007470,"Ananas, sciroppato",66.0,0.5,16.6,0.0,0.7,16.6,2.0
106010,"Anatra domestica, crudo",159.0,21.4,0.0,8.2,0.0,0.0,110.0
120250,"Anguilla d'allevamento, filetti",237.0,16.2,0.5,18.9,0.0,0.5,
120230,Anguilla di fiume,261.0,11.8,0.1,23.7,0.0,0.1,65.0
120240,Anguilla di mare,237.0,14.6,0.7,19.6,0.0,0.7,87.0
120210,"Anguilla, affumicata",231.0,17.5,0.2,17.8,0.0,0.2,
120220,"Anguilla, marinata",259.0,14.8,0.6,21.9,0.0,0.6,
115010,Animelle di bovini,304.0,11.5,0.1,28.6,0.0,0.1,
115019,"Animelle di bovini, cotte",434.0,16.4,0.2,40.9,0.0,0.2,
007480,"Anona, fresca",73.0,1.8,15.8,0.2,2.2,,4.0
008500,"Arachidi, tostate",620.0,29.0,8.5,50.0,10.9,3.1,6.0
128050,Aragosta,85.0,16.0,1.0,1.9,0.0,1.0,177.0
128055,"Aragosta, bollita",86.0,16.2,1.0,1.9,0.0,1.0,179.0
008011,"Arance bionde succo, fresco",38.0,0.5,9.6,0.0,0.0,9.6,
008001,"Arance bionde, fresche",45.0,0.7,9.9,0.2,1.6,9.9,
